date,time,origin,destination,ridership
2026-01-16,16:00,JB Sentral,Woodlands CIQ,322
2026-01-16,16:00,Woodlands CIQ,JB Sentral,322
2026-01-16,17:00,JB Sentral,Woodlands CIQ,321
2026-01-16,17:00,Woodlands CIQ,JB Sentral,313
2026-01-16,18:00,Woodlands CIQ,JB Sentral,320
2026-01-16,19:00,JB Sentral,Woodlands CIQ,318
2026-01-16,20:00,JB Sentral,Woodlands CIQ,318
2026-01-16,20:00,Woodlands CIQ,JB Sentral,320
2026-01-16,21:00,JB Sentral,Woodlands CIQ,319
2026-01-16,21:00,Woodlands CIQ,JB Sentral,322
2026-01-16,22:00,JB Sentral,Woodlands CIQ,320
2026-01-16,22:00,Woodlands CIQ,JB Sentral,320
2026-01-16,23:00,Woodlands CIQ,JB Sentral,318
2026-01-17,05:00,JB Sentral,Woodlands CIQ,173
2026-01-17,06:00,JB Sentral,Woodlands CIQ,329
2026-01-17,07:00,JB Sentral,Woodlands CIQ,528
2026-01-17,08:00,JB Sentral,Woodlands CIQ,320
2026-01-17,08:00,Woodlands CIQ,JB Sentral,324
2026-01-17,09:00,Woodlands CIQ,JB Sentral,323
2026-01-17,10:00,JB Sentral,Woodlands CIQ,320
2026-01-17,11:00,JB Sentral,Woodlands CIQ,323
2026-01-17,11:00,Woodlands CIQ,JB Sentral,326
2026-01-17,12:00,JB Sentral,Woodlands CIQ,288
2026-01-17,12:00,Woodlands CIQ,JB Sentral,322
2026-01-17,13:00,Woodlands CIQ,JB Sentral,324
2026-01-17,14:00,JB Sentral,Woodlands CIQ,327
2026-01-17,15:00,JB Sentral,Woodlands CIQ,322
2026-01-17,15:00,Woodlands CIQ,JB Sentral,317
2026-01-17,16:00,JB Sentral,Woodlands CIQ,324
2026-01-17,16:00,Woodlands CIQ,JB Sentral,316
2026-01-17,17:00,JB Sentral,Woodlands CIQ,323
2026-01-17,17:00,Woodlands CIQ,JB Sentral,322
2026-01-17,18:00,Woodlands CIQ,JB Sentral,322
2026-01-17,19:00,JB Sentral,Woodlands CIQ,319
2026-01-17,20:00,JB Sentral,Woodlands CIQ,321
2026-01-17,20:00,Woodlands CIQ,JB Sentral,196
2026-01-17,21:00,JB Sentral,Woodlands CIQ,319
2026-01-17,21:00,Woodlands CIQ,JB Sentral,259
